location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
EC,2020-06-20,14721,1215,268,11,0,147730,3789
EC,2020-06-21,15751,1030,285,17,0,151665,3935
EC,2020-06-22,16895,1144,303,18,0,154533,2868
EC,2020-06-23,18108,1213,331,28,0,157913,3380
EC,2020-06-24,19214,1106,346,15,0,161810,3897
EC,2020-06-25,20487,1273,363,17,0,166734,4924
EC,2020-06-26,21938,1451,371,8,0,170513,3779
EC,2020-06-27,23658,1720,384,13,0,174613,4100
EC,2020-06-28,25099,1441,387,3,0,178961,4348
EC,2020-06-29,26195,1096,397,10,0,182377,3416
EC,2020-06-30,27686,1491,422,25,0,186147,3770
EC,2020-07-01,29340,1654,439,17,0,190365,4218
EC,2020-07-02,30603,1263,451,12,0,194840,4475
EC,2020-07-03,32157,1554,459,8,0,199297,4457
EC,2020-07-04,34161,2004,490,31,0,204656,5359
EC,2020-07-05,35648,1487,519,29,0,209005,4349
EC,2020-07-06,38081,2433,528,9,0,212882,3877
EC,2020-07-07,40401,2320,564,36,0,217841,4959
EC,2020-07-08,42357,1956,582,18,0,222051,4210
EC,2020-07-09,44432,2075,610,28,0,228466,6415
EC,2020-07-10,46284,1852,634,24,0,234937,6471
EC,2020-07-11,48232,1948,664,30,0,240800,5863
EC,2020-07-12,50300,2068,686,22,0,246033,5233
EC,2020-07-13,52058,1758,709,23,0,250628,4595
EC,2020-07-14,53959,1901,726,17,0,254981,4353
EC,2020-07-15,55584,1625,738,12,0,260165,5184
EC,2020-07-16,57186,1602,763,25,0,265509,5344
EC,2020-07-17,58860,1674,772,9,0,271006,5497
EC,2020-07-18,60976,2116,811,39,0,276681,5675
EC,2020-07-19,63181,2205,825,14,0,282278,5597
EC,2020-07-20,65316,2135,871,46,0,286149,3871
EC,2020-07-21,66759,1443,945,74,0,289721,3572
EC,2020-07-22,67818,1059,1345,400,0,295266,5545
EC,2020-07-23,69445,1627,1393,48,0,300592,5326
EC,2020-07-24,71338,1893,1406,13,0,306574,5982
EC,2020-07-25,72772,1434,1450,44,0,311864,5290
EC,2020-07-26,73585,813,1457,7,0,316771,4907
EC,2020-07-27,74231,646,1534,77,0,320018,3247
EC,2020-07-28,75067,836,1545,11,0,323264,3246
EC,2020-07-29,75872,805,1579,34,0,328121,4857
